original_tag,consolidated_tag,original_count,notes
Obsolescence Fear Motivator,Usage And Adoption Patterns,1,
Off Script Flexibility Gap,Tool Reliability And Limitations,1,
Office Suite Integration,Data And System Integration,1,
Old School Cautious User,Usage And Adoption Patterns,1,
One-Sided Perception,Human Connection And Rapport,1,
Opinionated AI Preference,Usage And Adoption Patterns,1,
Organization Efficiency Goals,Time And Productivity,1,
Organization Focus,Usage And Adoption Patterns,1,
PII Sharing Concern,Privacy And Security,1,
Pacing Assistance Need,Personalization And Adaptation,1,
Pause Detection Challenge,Usage And Adoption Patterns,1,
Pause For Reflection,Emotional Support And Reflection,1,
Paywall Limitation Awareness,Cost And Tier Constraints,1,
Paywall Opacity,Cost And Tier Constraints,1,
Perceived Lack Of Need,Personalization And Adaptation,1,
Performance Preparation Scheduling,Calendar And Scheduling,1,
Periodic Background Monitoring,Proactive Assistance,1,
Persistent Context Per Chat,Memory And Context Continuity,1,
Personal AI Assistant Vision,Personalization And Adaptation,1,
Personal Assistant Integration,Data And System Integration,1,
Personal Bias Checking Support,Ethics And Bias Concerns,1,
Personal Communication Tasks,Social And Relationship Communication,1,
Personal Context Preservation,Memory And Context Continuity,1,
Personal Recipe And Translation Uses,Recipes And Cooking Support,1,
Personal Research Interest,Search And Research,1,
Personal Survey Experience,Usage And Adoption Patterns,1,
Personal Task Variety,Usage And Adoption Patterns,1,
Personal Trainer AI Assistant,Health And Wellness Support,1,
Personal Use Satisfaction,Usage And Adoption Patterns,1,
Personalised Response Style,Interaction Dynamics,1,
Personalization Gap In AI,Tool Reliability And Limitations,1,
Personalization Preference,Usage And Adoption Patterns,1,
Personalized AI Understanding,Personalization And Adaptation,1,
Personalized Assistant Gap,Personalization And Adaptation,1,
Personalized Guidance,Personalization And Adaptation,1,
Personalized Interviewing,AI Interview Experience,1,
Personalized Recommendation Expectation,Shopping And Recommendations,1,
Personalized Reminder System,Calendar And Scheduling,1,
Personalized Travel Preferences,Travel Planning,1,
Philosophical AI Reflection,Emotional Support And Reflection,1,
Phone Aversion,Usage And Adoption Patterns,1,
Photo Location Memory,Memory And Context Continuity,1,
Photo Location Memory Enhancement,Memory And Context Continuity,1,
Physical Activity Motivation,Emotional Support And Reflection,1,
Physical Activity Support,Usage And Adoption Patterns,1,
Planning Tasks,Task Organization And Prioritization,1,
Platform Integration Friction,Data And System Integration,1,
Podcast Ideation And Script Planning,Usage And Adoption Patterns,1,
Practical AI Applications,Usage And Adoption Patterns,1,
Practical AI Usage Scope,Access And Adoption,1,
Practical AI Verification,Accuracy And Hallucination Risk,1,
Practical Everyday AI Use,Usage And Adoption Patterns,1,
Practical Past AI Use,Usage And Adoption Patterns,1,
Practical Task Automation,Automation And Delegation,2,
Precision And Tone Refinement,Social And Relationship Communication,1,
Preference For Detail,Usage And Adoption Patterns,1,
Preference For Direct Communication,Social And Relationship Communication,1,
Preference For Limited Private Access,Access And Adoption,1,
Preference Learning Desire,Personalization And Adaptation,1,
Preference Memory Desire,Memory And Context Continuity,1,
Preference Memory For Repetitive Tasks,Memory And Context Continuity,1,
Presentation Creation Efficiency,Creative Design And Media,1,
Pressure-Free Thinking Space,Emotional Support And Reflection,1,
Preventive Problem Management,Proactive Assistance,1,
Priority Email Detection,Email Management,1,
Privacy Boundary Setting,Privacy And Security,1,
Privacy Concern About Personal Disclosure,Privacy And Security,1,
Privacy Concerns With Email,Privacy And Security,1,
Privacy Data Access Resistance,Privacy And Security,1,
Privacy Data Avoidance,Privacy And Security,1,
Privacy Data Blocker,Privacy And Security,1,
Privacy Data Concern,Privacy And Security,1,
Privacy Skepticism,Privacy And Security,1,
Privacy-Aware Integration,Privacy And Security,1,
Proactive AI Anticipation,Proactive Assistance,1,
Proactive Anticipation Need,Proactive Assistance,2,
Proactive Assistant Preference,Proactive Assistance,1,
Proactive Context Coaching,Proactive Assistance,1,
Proactive Event Coordination,Proactive Assistance,1,
Proactive Mental Load Management,Proactive Assistance,1,
Proactive Opportunity Pings,Proactive Assistance,1,
Proactive Prompt Improvement,Prompting And Instruction Quality,1,
Proactive Reminder Needs,Calendar And Scheduling,1,
Proactive Service Management,Proactive Assistance,1,
Proactive Task Reduction,Proactive Assistance,1,
Proactive Without Prompting,Prompting And Instruction Quality,1,
Proactivity Over Passivity,Usage And Adoption Patterns,1,
Proactivity Versus Passivity,Usage And Adoption Patterns,1,
Process Value Over Output,Usage And Adoption Patterns,1,
Product Comparison Gap,Shopping And Recommendations,1,
Product Search Failure Pattern,Search And Research,1,
Productivity Boost Expectation,Shopping And Recommendations,1,
Professional Assistant Preference,Professional Workflow Support,1,
Progress Check-in,Usage And Adoption Patterns,1,
Project Context Memory,Memory And Context Continuity,1,
Project Overview Maintenance,Usage And Adoption Patterns,1,
Project Timeline Planning,Calendar And Scheduling,1,
Prompt Control Frustration,Prompting And Instruction Quality,1,
Prompt Engineering Learning Gap,Prompting And Instruction Quality,1,
Prompt Guidance Desire,Prompting And Instruction Quality,1,
Prompt Labor Cost,Prompting And Instruction Quality,1,
Prompt Precision Expectation,Prompting And Instruction Quality,1,
Public Transport Navigation,Travel Planning,1,
Public Transport Preference,Travel Planning,1,
Quality Over Speed,Time And Productivity,1,
Question Redundancy Issue,Usage And Adoption Patterns,1,
Quick Prompt Recovery,Prompting And Instruction Quality,1,
Rate Limiting Frustration,Cost And Tier Constraints,1,
Reaction Absence Adjustment,Usage And Adoption Patterns,1,
Reactive Versus Proactive Pattern,Proactive Assistance,1,
Read Only Financial Trust,Privacy And Security,1,
Real-Time Information Need,Personalization And Adaptation,1,
Realistic Daily Scheduling Expectation,Calendar And Scheduling,1,
Recipe And Kitchen Use,Recipes And Cooking Support,1,
Recipe Finding Help,Recipes And Cooking Support,1,
Recipe Preference Personalization,Recipes And Cooking Support,1,
Recipe Refinement Process,Recipes And Cooking Support,1,
Recipe Refinement Value,Recipes And Cooking Support,1,
Recommendation Validation Process,Shopping And Recommendations,1,
Relationship Building With AI,Social And Relationship Communication,1,
Relationship Reflection Practice,Social And Relationship Communication,1,
Relaxation Without Visual Judgment,Creative Design And Media,1,
Repetition Frustration Stakes,Usage And Adoption Patterns,1,
Repetitive Context Burden,Memory And Context Continuity,1,
Republic Of Letters Collaboration,Usage And Adoption Patterns,1,
Research And Grant Writing,Content And Writing Support,1,
Research Assistance For Shopping,Search And Research,1,
Research Interpretation Gap,Search And Research,1,
Research Self Sufficiency,Search And Research,1,
Research Verification Pattern,Accuracy And Hallucination Risk,1,
Response Edit Inability Frustration,Interaction Dynamics,1,
Restriction Constraint Pragmatism,Tool Reliability And Limitations,1,
Results Skepticism,Trust And Verification,1,
Resume Optimization,Content And Writing Support,1,
Retool Agent Creation Failure,Coding And Technical Support,1,
Reunion Event Focus,Usage And Adoption Patterns,1,
Reverse Calendly Vision,Personalization And Adaptation,1,
Robustness Preference,Usage And Adoption Patterns,1,
Route Optimization Concern,Travel Planning,1,
Route Optimization Daily Planning,Travel Planning,1,
Route Planning Assistance,Travel Planning,1,
Route Planning Expectations,Travel Planning,1,
Routine Task Memory Preference,Memory And Context Continuity,1,
Rumination Pattern Detection,Emotional Support And Reflection,1,
Safe Data Gathering Relationship,Social And Relationship Communication,1,
Safeguards Before Automation,Automation And Delegation,1,
Sales Outreach Assistant,Professional Workflow Support,1,
Satisfied With Current Scope,Current Tool Sufficiency,1,
Schedule Integration Need,Calendar And Scheduling,1,
Scientific Literature Access Limitation,Tool Reliability And Limitations,1,
Scope Based Project Planning,Usage And Adoption Patterns,1,
Scope Clarity Uncertainty,Tool Reliability And Limitations,1,
Search Enhancement Preference,Search And Research,1,
Search Primary Use,Search And Research,1,
Search Reliability Concerns,Search And Research,1,
Search Synthesis Primary Need,Search And Research,1,
Secure Environment Access Barriers,Privacy And Security,1,
Security Concerns,Privacy And Security,1,
Selective Integration Need,Data And System Integration,1,
Self-Censorship Over Privacy,Privacy And Security,1,
Self-Sufficient Alternative Finding,Usage And Adoption Patterns,1,
Serendipitous Suggestion Openness,Usage And Adoption Patterns,1,
Shopping Friction From Accessibility,Shopping And Recommendations,1,
Shopping List Integration,Shopping And Recommendations,1,
Skepticism Of Marketing Claims,Professional Workflow Support,1,
Smart Calendar Scheduling,Calendar And Scheduling,1,
Smart Fridge Integration Interest,Recipes And Cooking Support,1,
Smart Home Appliance Integration,Home And DIY Support,1,
Smart Home Integration Interest,Home And DIY Support,1,
Smart Kitchen Inventory Tracking,Recipes And Cooking Support,1,
Smart Search For Travel,Travel Planning,1,
Smart Task Prioritization,Task Organization And Prioritization,1,
Smartphone Only Device Landscape,Usage And Adoption Patterns,1,
Social Advice Seeking,Social And Relationship Communication,1,
Social Media Inspired Creativity,Social And Relationship Communication,1,
Source Citation Gap,Tool Reliability And Limitations,1,
Source Discovery Value,Learning And Discovery,1,
Source Mismatch Frustration,Accuracy And Hallucination Risk,1,
Specialised Professional Assistants,Professional Workflow Support,1,
Speech Habituation Anxiety,Voice Interaction Experience,1,
Speech Recognition Concern,Voice Interaction Experience,1,
Speed Over Search,Search And Research,1,
Sponsored Content Distrust,Content And Writing Support,1,
Spontaneous Engagement Preference,Usage And Adoption Patterns,1,
Sports Injury Diagnosis,Health And Wellness Support,1,
Starting Point Preference,Usage And Adoption Patterns,1,
Static Image Limitation,Creative Design And Media,1,
Static Interaction Limitation,Tool Reliability And Limitations,1,
Step-By-Step Task Transparency,Usage And Adoption Patterns,1,
Still Learning About AI,Learning And Discovery,1,
Structure Rigor Preference,Usage And Adoption Patterns,1,
Structured Format Limits Exploration,Learning And Discovery,1,
Structured Prompt Technique,Prompting And Instruction Quality,1,
Style Adaptation Gap,Personalization And Adaptation,1,
Substack Content Creation,Content And Writing Support,1,
Substrate Specificity Limitation,Tool Reliability And Limitations,1,
Supermarket Integration Vision,Data And System Integration,1,
Survey Not Interview,AI Interview Experience,1,
Switched To Paid Version,Cost And Tier Constraints,1,
Synthesis Over Individual Sources,Search And Research,1,
Synthesis Over Search,Search And Research,1,
System Fragmentation Pain,System Fragmentation And Interoperability,1,
System Integration,Data And System Integration,1,
System Integration Benefits,Data And System Integration,1,
System Integration Desire,Data And System Integration,1,
System Integration For Daily Management,Data And System Integration,1,
System Integration For Task Management,Data And System Integration,1,
System Integration Need,Data And System Integration,1,
System Integration Opportunities,Data And System Integration,1,
System Integration Preference,Data And System Integration,1,
System Interconnection Rejection,Usage And Adoption Patterns,1,
System Interconnection Requirement,Usage And Adoption Patterns,1,
Systems Integration Interest,Data And System Integration,1,
Task Breakdown And Scheduling,Calendar And Scheduling,1,
Task Decomposition Strategy,Task Organization And Prioritization,1,
Task Management Fragmentation,System Fragmentation And Interoperability,1,
Task Management Tool Need,Task Organization And Prioritization,1,
Task Organization Need,Task Organization And Prioritization,1,
Task Range Diversity,Usage And Adoption Patterns,1,
Taste-Based Recipe Suggestions,Recipes And Cooking Support,1,
Teaching Financial Literacy,Financial Planning And Analysis,1,
Technical Stalling,Tool Reliability And Limitations,1,
Text Composition Advantage,Usage And Adoption Patterns,1,
Text Refinement Use Case,Content And Writing Support,1,
Thinking Clarification Through Dialogue,Prompting And Instruction Quality,1,
Thought Ordering Via AI,Usage And Adoption Patterns,1,
Thought Structuring Support,Usage And Adoption Patterns,1,
Thought-To-Action Automation,Automation And Delegation,1,
Thread Persistence Value,Memory And Context Continuity,1,
Time Management Support Need,Time And Productivity,1,
Time Sensitivity Paralysis,Usage And Adoption Patterns,1,
Time Tracking And Awareness,Usage And Adoption Patterns,1,
Tool Adoption Driven By Curiosity,Access And Adoption,1,
Tool Integration Gap,Data And System Integration,1,
Tool Limitations Blocking Use,Tool Reliability And Limitations,1,
Tool Limitations Unsure,Tool Reliability And Limitations,1,
Tool Quality Gatekeeping,Tool Reliability And Limitations,1,
Transparency And Collaboration Need,Personalization And Adaptation,1,
Transparency Gap,Tool Reliability And Limitations,1,
Transparency Requirement For AI Actions,User Control And Safeguards,1,
Travel Agent Analogy,Travel Planning,1,
Travel No Real Friction,Travel Planning,1,
Travel Plan Input Requirements,Travel Planning,1,
Travel Planning Assistance,Travel Planning,1,
Travel Planning Unrealism,Travel Planning,1,
Travel Planning Use Case,Travel Planning,1,
Travel Planning Via AI,Travel Planning,1,
Travel Research Use Case,Travel Planning,1,
Travel Translation Utility,Travel Planning,1,
Tree Diagnosis Method,Usage And Adoption Patterns,1,
Trip Optimization Query,Travel Planning,1,
Trip Planning AI Usage,Travel Planning,1,
Trip Planning Priorities,Travel Planning,1,
Trip Planning Support,Travel Planning,1,
Trip Planning Unrealistic Expectations,Travel Planning,1,
Trust And Transparency Baseline,Trust And Verification,1,
Trust Based System Access,Access And Adoption,1,
Trust Requires Clarity,Trust And Verification,1,
Trust Through Genuine Presence,Trust And Verification,1,
UX Heuristic Analysis Gap,Tool Reliability And Limitations,1,
Unbiased Reasoning Imperative,Ethics And Bias Concerns,1,
Uncanny Valley Observation,Usage And Adoption Patterns,1,
Unemotional AI Interaction Preference,Emotional Support And Reflection,1,
Unified Information Channel,Data And System Integration,1,
Unified Task Processing,Usage And Adoption Patterns,1,
Unified Unified Calendar View,Calendar And Scheduling,1,
Unlimited Prompt Persistence,Prompting And Instruction Quality,1,
Usage Frequency,Access And Adoption,1,
User Interface Complaint,Usage And Adoption Patterns,1,
User Validated Product Recommendations,Shopping And Recommendations,1,
VIP Contact Prioritization,Task Organization And Prioritization,1,
Vague Requirements Caused Failure,Prompting And Instruction Quality,1,
Verbal Comfort Gap,Tool Reliability And Limitations,1,
Verification Need For AI Output,Accuracy And Hallucination Risk,2,
Verification Through Attribution Check,Accuracy And Hallucination Risk,1,
Verified Information Requirement,Usage And Adoption Patterns,2,
Verified Product Recommendations,Shopping And Recommendations,1,
Video Recording Discomfort,Usage And Adoption Patterns,1,
Visual Authenticity Design,Human Connection And Rapport,1,
Visual Content Creation,Creative Design And Media,1,
Visual Cooking Assistance,Recipes And Cooking Support,1,
Visual Cue Deficit,Creative Design And Media,1,
Visual Feedback Desire,Creative Design And Media,1,
Visual Technique Limitation,Creative Design And Media,1,
Voice AI Interface Anxiety,Voice Interaction Experience,1,
Voice AI Interview Feeling,Voice Interaction Experience,1,
Voice And Visual Feedback Value,Voice Interaction Experience,1,
Voice Dictation Importance,Voice Interaction Experience,1,
Voice Formality And Structure,Voice Interaction Experience,1,
Voice Input Preference,Voice Interaction Experience,1,
Voice Interaction Ambivalence,Voice Interaction Experience,1,
Voice Interaction Gap,Voice Interaction Experience,1,
Voice Interaction Preference,Voice Interaction Experience,1,
Voice Interaction Skepticism,Voice Interaction Experience,1,
Voice Interface Preference,Voice Interaction Experience,1,
Voice Interruption Frustration,Voice Interaction Experience,1,
Voice Over Text Preference,Voice Interaction Experience,1,
Voice Plus Text Format Preference,Voice Interaction Experience,1,
Voice Recording Novelty,Voice Interaction Experience,1,
Voice Response Expectation,Voice Interaction Experience,1,
Voice Transcription Preference,Voice Interaction Experience,1,
Weak AI Interview Version,AI Interview Experience,1,
Wellness Professional AI,Health And Wellness Support,1,
WhisperFlow Tool Satisfaction,Voice Interaction Experience,1,
Work Life Balance Priority,Usage And Adoption Patterns,1,
Workflow Efficiency Vision,Time And Productivity,1,
Writing Assistance,Content And Writing Support,1,
Writing Enhancement,Content And Writing Support,1,
Writing Struggle,Content And Writing Support,1,
Writing Style Preservation,Content And Writing Support,1,
Written Communication Comfort,Social And Relationship Communication,1,
Written Format Preference,Usage And Adoption Patterns,2,
Wrong Yarn Substitute,Accuracy And Hallucination Risk,1,
Yarn Quantity Miscalculation,Home And DIY Support,1,
Yarn Substitute Inaccuracy,Accuracy And Hallucination Risk,1,
